ID,PartyName,ShortName,CurrentSymbolID
1,Bharatiya Janata Party ,BJP,1
2,Indian National Congress ,INC,2
3,All India Anna Dravida Munnetra Kazhagam ,AIADMK,3
4,Dravida Munnetra Kazhagam ,DMK,4
5,Telugu Desam Party ,TDP,5
6,Trinamool Congress ,TMC,6
7,Rashtriya Janata Dal ,RJD,7
8,Janata Dal ,JDU,8
9,Biju Janata Dal ,BJD,9
10,Telangana Rashtra Samithi ,TRS,10
11,Jharkhand Mukti Morcha ,JMM,11
12,Bahujan Samaj Party ,BSP,12
13,Samajwadi Party ,SP,13
14,Aam Aadmi Party ,AAP,14
15,Communist Party of India ,CPI,15
16,Communist Party of India ,Marxist ,16
17,Nationalist Congress Party ,NCP,17
18,Shiv Sena,SS,18
